title,author,Coverdate,Volume,Issue,Pages,DOI
Editors Letter,Brian R Bruce,Winter 2006,1,(1),1,https://doi.org/10.3905/jot.2006.609250
Creating A Hierarchy of Trading Decisions,Wayne H. Wagner,Winter 2006,1,(1),6-11,https://doi.org/10.3905/jot.2006.609170
Algorithmic Decision-Making Framework,Robert Kissell and Roberto Malamut,Winter 2006,1,(1),12-21,https://doi.org/10.3905/jot.2006.609171
Choosing Benchmarks vs. Choosing Strategies,George Sofianos,Winter 2006,1,(1),22-25,https://doi.org/10.3905/jot.2006.609172
Choosing Benchmarks vs. Choosing Strategies,Dmitry Rakhlin and George Sofianos,Winter 2006,1,(1),26-32,https://doi.org/10.3905/jot.2006.609173
The Cost of Algorithmic Trading,Ian Domowitz and Henry Yegerman,Winter 2006,1,(1),33-42,https://doi.org/10.3905/jot.2006.609174
Sell-Side Algorithmic Offerings,Richard Rosenblatt and Joseph Gawronski,Winter 2006,1,(1),43-45,https://doi.org/10.3905/jot.2006.609175
Regulation NMS,Laura S. Pruitt and Howard L. Kramer,Winter 2006,1,(1),47-54,https://doi.org/10.3905/jot.2006.609176
Implementing an Active Currency Strategy Using FX Prime Brokerage and Electronic Trading,Philip Simotas,Winter 2006,1,(1),55-57,https://doi.org/10.3905/jot.2006.618225
Decision Making in Equity Trading,"Robert A. Schwartz,Reto Francioni and Bruce W. Weber",Winter 2006,1,(1),59-74,https://doi.org/10.3905/jot.2006.618224
Editor's Letter,Brian R Bruce,Spring 2006,1,(2),5,https://doi.org/10.3905/jot.2006.628200
"Improving Hedge Fund Risk Exposures by Hedging Equity Market Volatility, or How the VIX Ate My Kurtosis",Keith H. Black,Spring 2006,1,(2),6-15,https://doi.org/10.3905/jot.2006.628190
Using Dynamic Programming to Optimally Rebalance Portfolios,"Walter Sun,Ayres Fan,Li-Wei Chen,Tom Schouwenaars and Marius A. Albota",Spring 2006,1,(2),16-27,https://doi.org/10.3905/jot.2006.628191
Incorporating Trading Strategies in the Black-Litterman Framework,"Frank J. Fabozzi,Sergio M. Focardi and Petter N. Kolm",Spring 2006,1,(2),28-37,https://doi.org/10.3905/jot.2006.628192
VWAP and Volume Profiles,Dana D. Hobson,Spring 2006,1,(2),38-42,https://doi.org/10.3905/jot.2006.628193
The Impact of an Increase in Volatility on Trading Costs,Dmitry Rakhlin and George Sofianos,Spring 2006,1,(2),43-50,https://doi.org/10.3905/jot.2006.628194
Currency Derivative Markets Landscape,John W. Labuszewski,Spring 2006,1,(2),51-61,https://doi.org/10.3905/jot.2006.628195
Survivorship Bias in the Development of Equity Trading Systems,Thomas Neal Falkenberry,Spring 2006,1,(2),62-68,https://doi.org/10.3905/jot.2006.628196
Trading on Electronic versus Floor-based Markets,Jeffrey W. Smith,Spring 2006,1,(2),69-75,https://doi.org/10.3905/jot.2006.628197
Against the Duopoly,Joshua Galper,Spring 2006,1,(2),76-79,https://doi.org/10.3905/jot.2006.628198
Risk Isolation Using Market Neutral Strategy,Darren Clifford,Spring 2006,1,(2),80-82,https://doi.org/10.3905/jot.2006.628199
The Expanded Implementation Shortfall,Robert Kissell,Summer 2006,1,(3),6-16,https://doi.org/10.3905/jot.2006.644083
Exchange Mergers,Ted Oberhaus and Milton Ezrati,Summer 2006,1,(3),17-19,https://doi.org/10.3905/jot.2006.644084
Using Neural Networks to Analyze Intermarket Relationships,Louis B. Mendelsohn,Summer 2006,1,(3),20-24,https://doi.org/10.3905/jot.2006.644085
Multi-day Executions,Tianwu (Michael) Cai and George Sofianos,Summer 2006,1,(3),25-33,https://doi.org/10.3905/jot.2006.644086
Let's Play Hide-and-Seek,"Steve Bongiovanni,Milan Borkovec and Robert D. Sinclair",Summer 2006,1,(3),34-46,https://doi.org/10.3905/jot.2006.644087
Nasdaq's Electronic Closing Cross,Jeffrey W. Smith,Summer 2006,1,(3),47-64,https://doi.org/10.3905/jot.2006.644088
Diversification of Stock Exchange Trading Platforms,Takeshi Inoue,Summer 2006,1,(3),65-72,https://doi.org/10.3905/jot.2006.644089
Timely Execution,"Thomas Schneeweis,Richard B Spurgin and Bhaswar Gupta",Summer 2006,1,(3),73-81,https://doi.org/10.3905/jot.2006.644090
"A Brief History of TCA, Its Shortcomings, and a Proposed Framework for Integrating Trading into the Investment Process",Joseph Gawronski and Scott Burrill,Summer 2006,1,(3),82-86,https://doi.org/10.3905/jot.2006.644091
Editor's Letter,Brian R Bruce,Fall 2006,1,(4),5,https://doi.org/10.3905/jot.2006.654307
Principal Bid vs. Agency Trading,Anna Bystrik and Akis Georgiou,Fall 2006,1,(4),6-13,https://doi.org/10.3905/jot.2006.654297
An Analysis of Short Selling in NYSE-listed Securities,"Benjamin M. Blau,Bonnie F. Van Ness and Robert A. Van Ness",Fall 2006,1,(4),14-21,https://doi.org/10.3905/jot.2006.654298
Is It Prudent to Trade Around Analyst Recommendation Changes?,"Amber Anand,S. G. Badrinath,Sugato Chakravarty and Robert A. Wood",Fall 2006,1,(4),22-37,https://doi.org/10.3905/jot.2006.654299
Bayesian Adaptive Trading with a Daily Cycle,Robert Almgren and Julian Lorenz,Fall 2006,1,(4),38-46,https://doi.org/10.3905/jot.2006.654300
Accessing Displayed and Non-Displayed Liquidity,Kwaku Abrokwah and George Sofianos,Fall 2006,1,(4),47-57,https://doi.org/10.3905/jot.2006.654301
A Framework for Evaluating Trades in the Credit Derivatives Market,"Douglas J. Lucas,Laurie S. Goodman and Frank J. Fabozzi",Fall 2006,1,(4),58-69,https://doi.org/10.3905/jot.2006.654302
Measuring Market Impact and Liquidity,"Galen Burghardt,Jerry Hanweck and Lauren Lei",Fall 2006,1,(4),70-84,https://doi.org/10.3905/jot.2006.654303
Should I Fire My Trader or Pay Him A Million?,Gary Karz and Wayne H. Wagner,Fall 2006,1,(4),85-89,https://doi.org/10.3905/jot.2006.654304
